Line,Turnout,variable,Date,value,DateTime,Remarks,ML_max,ML_min,SL_max,SL_min,status,Lat,Long,Passed,ML exceeds,SL exceeds,No value
KTL,CHH72,Crossing_Gauge at Nose_RH,2022-07-26,1434.0,2022-07-26 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2022-04-19,1432.0,2022-04-19 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2022-01-27,1434.0,2022-01-27 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2021-12-20,1448.0,2021-12-20 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2021-11-04,1432.0,2021-11-04 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2021-08-04,1433.0,2021-08-04 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2021-05-20,1433.0,2021-05-20 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2021-02-03,1432.0,2021-02-03 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2020-11-04,1432.0,2020-11-04 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2020-08-04,1431.0,2020-08-04 00:00:00,Before,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Nose_RH,2022-01-27,1432.0,2022-01-27 00:00:01,After,1435.0,1430.0,1447.0,1428.0,Passed,22.3364186,114.2070792,1,0,0,0
